source_file,frame_no,timestamp_epoch,tx,rx,bssid,frame_protocols,type_subtype_hex,phase,ap_identity,ssid,rsn_present,akm_suites,pairwise_cipher,pmf_capable,pmf_required,auth_alg,assoc_status_code,has_eapol,eapol_msg_num,eapol_replay_counter
track3_filtered_modified_authorized_only.pcapng,170,1781520234.843474000,32:0a:af:e3:81:b2,c8:3a:35:c2:e0:b7,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x000a,other,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,171,1781520234.911532000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,172,1781520235.013877000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,173,1781520235.118880000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,174,1781520235.218569000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,175,1781520235.320727000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,176,1781520235.424098000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,177,1781520235.525765000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,178,1781520235.628166000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,179,1781520235.731197000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,180,1781520235.833797000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,181,1781520235.861682000,c8:3a:35:c2:e0:b7,32:0a:af:e3:81:b2,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x000c,other,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,182,1781520235.935162000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,183,1781520236.040139000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,184,1781520236.140785000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,185,1781520236.143649000,c8:3a:35:c2:e0:b7,b6:2a:98:7e:fc:c0,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0005,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,186,1781520236.161918000,c8:3a:35:c2:e0:b7,b6:2a:98:7e:fc:c0,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0005,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,187,1781520236.188993000,d6:35:1d:9f:89:fc,3e:f5:54:d7:22:66,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0005,discovery,ap1,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,188,1781520236.242367000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,189,1781520236.344822000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,190,1781520236.448201000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,191,1781520236.493352000,32:0a:af:e3:81:b2,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,radiotap:wlan_radio:wlan,0x0004,discovery,unknown,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,192,1781520236.496402000,c8:3a:35:c2:e0:b7,32:0a:af:e3:81:b2,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0005,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,193,1781520236.533261000,32:0a:af:e3:81:b2,c8:3a:35:c2:e0:b7,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x000b,auth_assoc,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,194,1781520236.536328000,c8:3a:35:c2:e0:b7,32:0a:af:e3:81:b2,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x000b,auth_assoc,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,195,1781520236.540607000,32:0a:af:e3:81:b2,c8:3a:35:c2:e0:b7,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0000,auth_assoc,ap2,,0,,,,,,,0,,
